ID;Dato;Mærke;Model;Variant;Aargang;Km;Farve;Pris;Status;Saelger;KundeID;Finansiering;Garanti;Ekstraudstyr;Rabat;Moms;Nettopris;Forsikring;Afdeling
32;01-06;Tesla;Model 3;Standard;2022;25000;Blaa;290000;Solgt;Jensen;C132;Bank;24;Hvid-interior;2000;58000;230000;Ja;Aarhus
33;02-06;Audi;Q3;Sportback;2023;8000;Hvid;320000;Solgt;Olsen;C133;Leasing;36;S-line-plus;0;64000;256000;Ja;Odense
34;03-06;BMW;i4;eDrive40;2023;10000;Solv;410000;Solgt;Nielsen;C134;Bank;36;Laser;5000;82000;323000;Ja;KBH
35;04-06;Toyota;Yaris;Cross;2023;4000;Graa;200000;Solgt;Hansen;C135;Kontant;36;Aktiv-pakke;0;40000;160000;Nej;Aalborg
36;05-06;Ford;Puma;Mild-Hybrid;2022;19000;Rod;180000;Solgt;Jensen;C136;Bank;24;Design-pakke;1000;36000;143000;Ja;KBH
37;06-06;Volvo;S90;Recharge;2021;35000;Sort;440000;Solgt;Olsen;C137;Leasing;12;Vent-saeder;8000;88000;344000;Ja;Aarhus
38;07-06;Skoda;Karoq;Ambition;2022;24000;Blaa;210000;Solgt;Nielsen;C138;Bank;24;Tagrails;2000;42000;166000;Ja;Odense
39;08-06;Kia;EV6;GT-Line;2023;9000;Hvid;430000;Solgt;Hansen;C139;Leasing;36;Head-up;0;86000;344000;Ja;KBH
40;09-06;Mercedes;GLC;300;2022;25000;Graa;520000;Solgt;Jensen;C140;Bank;24;Offroad-pack;10000;104000;406000;Ja;Aarhus
41;10-06;VW;Tiguan;Life;2021;38000;Sort;270000;Solgt;Olsen;C141;Bank;12;Trailer-pack;3000;54000;213000;Ja;KBH
42;11-06;Tesla;Model X;Plaid;2023;5000;Sort;950000;Solgt;Nielsen;C142;Leasing;36;FSD-super;20000;190000;740000;Ja;Aarhus
43;12-06;Audi;RS3;Sportback;2022;12000;Grøn;550000;Solgt;Hansen;C143;Bank;24;RS-Design;10000;110000;430000;Ja;Odense
44;13-06;BMW;M3;Competition;2021;20000;Sort;880000;Solgt;Jensen;C144;Kontant;12;Carbon-pakke;20000;176000;684000;Ja;KBH
45;14-06;Toyota;Camry;Hybrid;2022;22000;Solv;290000;Solgt;Olsen;C145;Bank;24;Executive;5000;58000;227000;Ja;Aalborg
46;15-06;Ford;Mondeo;Titanium;2020;70000;Graa;190000;Solgt;Nielsen;C146;Bank;12;Luksus;2000;38000;150000;Ja;KBH
47;16-06;Volvo;V90;Cross;2022;15000;Hvid;480000;Solgt;Hansen;C147;Leasing;36;Polestar;5000;96000;379000;Ja;Aarhus
48;17-06;Skoda;Superb;LaurinK;2023;8000;Sort;370000;Solgt;Olsen;C148;Bank;36;Massage-saede;5000;74000;291000;Ja;Odense
49;18-06;Kia;Sorento;PHEV;2023;10000;Blaa;450000;Solgt;Jensen;C149;Leasing;36;Panoramaglas;0;90000;360000;Ja;KBH
50;19-06;Mercedes;S500;EQ;2024;1000;Sort;1200000;Solgt;Nielsen;C150;Leasing;36;Chauffeur-pak;50000;240000;910000;Ja;Aarhus
